Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"130","Unassigned","AMD Industries Limited","https://amdpop.com","readymade-fallback","HIGH","NO","N/A","info@amdpop.com","[General Contact Email (Guessed Pattern)] info@amdpop.com; [Investor Grievance Email (Guessed Pattern)] contact@amdpop.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"136","Unassigned","ANDHRA PAPER LIMITED","https://andhrapaper.com","readymade-fallback","HIGH","NO","N/A","info@andhrapaper.com","[General Contact Email (Guessed Pattern)] info@andhrapaper.com; [Investor Grievance Email (Guessed Pattern)] contact@andhrapaper.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 29. Lighthouse A11y: 30/100."
"153","Unassigned","APL Apollo Tubes Limited","https://aplapollo.com","readymade-fallback","HIGH","NO","N/A","info@aplapollo.com","[Investor Grievance / Compliance Officer Email] global@aplapollo.com; [General Contact Email] info@aplapollo.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 21. Lighthouse A11y: 30/100."
"200","Unassigned","ASK Automotive Limited","https://askbrake.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"215","Unassigned","ATLANTAA LIMITED","https://atlanta-airport.com","readymade-fallback","HIGH","NO","N/A","info@atlanta-airport.com","[General Contact Email (Guessed Pattern)] info@atlanta-airport.com; [Investor Grievance Email (Guessed Pattern)] contact@atlanta-airport.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"224","Unassigned","AURUS GEM CORPORATION LIMITED","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"220","Unassigned","AU Small Finance Bank Limited","https://aubank.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"232","Unassigned","AVG Logistics Limited","https://avglogistics.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"235","Unassigned","AVRO INDIA LIMITED","https://avrotros.nl","readymade-fallback","HIGH","NO","N/A","info@avrotros.nl","[General Contact Email] info@avrotros.nl","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"236","Unassigned","AVT Natural Products Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"239","Unassigned","AWL Agri Business Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"241","Unassigned","AXISCADES Technologies Limited","https://axiscades.com","readymade-fallback","HIGH","NO","N/A","info@axiscades.com","[General Contact Email (Guessed Pattern)] info@axiscades.com; [Investor Grievance Email (Guessed Pattern)] contact@axiscades.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"244","Unassigned","AYM Syntex Limited","https://aymsyntex.com","readymade-fallback","HIGH","NO","N/A","info@aymsyntex.com","[General Contact Email (Guessed Pattern)] info@aymsyntex.com; [Investor Grievance Email (Guessed Pattern)] contact@aymsyntex.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"30","Unassigned","A B Cotspin India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"33","Unassigned","A B Infrabuild Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"12","Unassigned","Aadhar Housing Finance Limited","https://aadharhousing.com","readymade-fallback","HIGH","NO","N/A","info@aadharhousing.com","[General Contact Email (Guessed Pattern)] info@aadharhousing.com; [Investor Grievance Email (Guessed Pattern)] contact@aadharhousing.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"13","Unassigned","Aakash Exploration Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"14","Unassigned","Aarey Drugs & Pharmaceuticals Limited","https://aareydrugs.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"15","Unassigned","Aarnav Fashions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"16","Unassigned","Aaron Industries Limited","https://aaronindustries.net","readymade-fallback","HIGH","NO","N/A","tds@bigshareonline.com","[General Contact Email] tds@bigshareonline.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"17","Unassigned","Aartech Solonics Limited","https://aartechsolonics.com","readymade-fallback","HIGH","NO","N/A","info@aartechsolonics.com","[General Contact Email (Guessed Pattern)] info@aartechsolonics.com; [Investor Grievance Email (Guessed Pattern)] contact@aartechsolonics.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"18","Unassigned","Aarti Drugs Limited","https://aartidrugs.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"19","Unassigned","Aarti Industries Limited","https://aarti-industries.com","readymade-fallback","HIGH","NO","N/A","info@aarti-industries.com","[General Contact Email (Guessed Pattern)] info@aarti-industries.com; [Investor Grievance Email (Guessed Pattern)] contact@aarti-industries.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"20","Unassigned","Aarti Pharmalabs Limited","https://aartipharmalabs.com","readymade-fallback","HIGH","NO","N/A","info@aartipharmalabs.com","[General Contact Email] info@aartipharmalabs.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"21","Unassigned","Aarti Surfactants Limited","https://aarti-surfactants.com","readymade-fallback","HIGH","NO","N/A","sales@aarti-surfactants.com","[General Contact Email] sales@aarti-surfactants.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 11. Lighthouse A11y: 56/100."
"22","Unassigned","Aarvi Encon Limited","https://aarviencon.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"23","Unassigned","Aastha Spintex Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"24","Unassigned","Aavas Financiers Limited","https://aavas.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"25","Unassigned","Aban Offshore Limited","https://abanoffshore.com","readymade-fallback","HIGH","NO","N/A","info@abanoffshore.com","[General Contact Email (Guessed Pattern)] info@abanoffshore.com; [Investor Grievance Email (Guessed Pattern)] contact@abanoffshore.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"26","Unassigned","Abans Enterprises Limited","https://aban.net","readymade-fallback","HIGH","NO","N/A","aban@aban.net","[General Contact Email] aban@aban.net","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 27. Lighthouse A11y: 30/100."
"77","Unassigned","Abans Financial Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"28","Unassigned","Abbott India Limited","https://abbott.com","readymade-fallback","HIGH","NO","N/A","info@abbott.com","[General Contact Email (Guessed Pattern)] info@abbott.com; [Investor Grievance Email (Guessed Pattern)] contact@abbott.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"40","Unassigned","Accelya Solutions India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"41","Unassigned","Accuracy Shipping Limited","https://aslindia.net","readymade-fallback","HIGH","NO","N/A","info@aslindia.net","[Investor Grievance / Compliance Officer Email] info@aslindia.net; [General Contact Email] info@aslindia.net","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 37. Lighthouse A11y: 30/100."
"43","Unassigned","Ace Integrated Solutions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"46","Unassigned","Acme Solar Holdings Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"42","Unassigned","Action Construction Equipment Limited","https://ace-cranes.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"48","Unassigned","Acutaas Chemicals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"49","Unassigned","Adani Energy Solutions Limited","https://adanienergysolutions.com","readymade-fallback","HIGH","NO","N/A","info@adanienergysolutions.com","[General Contact Email (Guessed Pattern)] info@adanienergysolutions.com; [Investor Grievance Email (Guessed Pattern)] contact@adanienergysolutions.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 78. Lighthouse A11y: 30/100."
"50","Unassigned","Adani Enterprises Limited","https://adanielectricity.com","readymade-fallback","HIGH","NO","N/A","helpdesk.mumbaielectricity@adani.com","[General Contact Email] helpdesk.mumbaielectricity@adani.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 36. Lighthouse A11y: 30/100."
"51","Unassigned","Adani Green Energy Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"52","Unassigned","Adani Ports and Special Economic Zone Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"53","Unassigned","Adani Power Limited","https://adanipower.com","readymade-fallback","HIGH","NO","N/A","info@adanipower.com","[General Contact Email (Guessed Pattern)] info@adanipower.com; [Investor Grievance Email (Guessed Pattern)] contact@adanipower.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 67. Lighthouse A11y: 30/100."
"212","Unassigned","Adani Total Gas Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"29","Unassigned","Aditya Birla Capital Limited","https://adityabirlacapital.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"32","Unassigned","Aditya Birla Fashion and Retail Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"34","Unassigned","Aditya Birla Lifestyle Brands Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"334","Unassigned","Aditya Birla Money Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"37","Unassigned","Aditya Birla Real Estate Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"38","Unassigned","Aditya Birla Sun Life AMC Limited","https://adityabirlasunlifeamc.com","readymade-fallback","HIGH","NO","N/A","info@adityabirlasunlifeamc.com","[General Contact Email (Guessed Pattern)] info@adityabirlasunlifeamc.com; [Investor Grievance Email (Guessed Pattern)] contact@adityabirlasunlifeamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"478","Unassigned","Aditya Infotech Limited","https://adityainfotech.com","readymade-fallback","HIGH","NO","N/A","admin@adityainfotech.com","[General Contact Email] admin@adityainfotech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 26. Lighthouse A11y: 30/100."
"233","Unassigned","Aditya Vision Limited","https://adityavision.com","readymade-fallback","HIGH","NO","N/A","care@adityavision.in","[General Contact Email] care@adityavision.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 84. Lighthouse A11y: 30/100."
"56","Unassigned","Ador Welding Limited","https://adorwelding.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"57","Unassigned","Adroit Infotech Limited","https://adroitinfotech.com","readymade-fallback","HIGH","NO","N/A","info@adroitinfotech.com","[Investor Grievance / Compliance Officer Email] cs@adroitinfotech.com; [General Contact Email] info@adroitinfotech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"59","Unassigned","Advait Energy Transitions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"60","Unassigned","Advance Agrolife Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"63","Unassigned","Advanced Enzyme Technologies Limited","https://advancedenzymes.com","readymade-fallback","HIGH","NO","N/A","info@advancedenzymes.com","[General Contact Email] info@advancedenzymes.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
